Date,Shape of You,Despacito,Something Just Like This,HUMBLE.,Unforgettable
2017-01-06,12287078,,,,
2017-01-07,13190270,,,,
2017-01-08,13099919,,,,
2017-01-09,14506351,,,,
2017-01-10,14275628,,,,
2017-01-11,14372699,,,,
2017-01-12,14148108,,,,
2017-01-13,14536236,275178,,,
2017-01-14,14173311,1144886,,,
2017-01-15,12889849,1288198,,,
2017-01-16,14128468,1827581,,,
2017-01-17,14158281,2177449,,,
2017-01-18,14293365,2528408,,,
2017-01-19,14252159,2893300,,,
2017-01-20,14583344,3260014,,,
2017-01-21,14100340,3853781,,,
2017-01-22,12834029,3590914,,,
2017-01-23,14102623,4217226,,,
2017-01-24,14322902,4690718,,,
2017-01-25,14505619,4975605,,,
2017-01-26,14780816,5284138,,,
2017-01-27,15514586,5787911,,,
2017-01-28,14832215,6111181,,,
2017-01-29,13064919,5292500,,,
2017-01-30,14231127,5865825,,,
2017-01-31,14822928,6415754,,,
2017-02-01,15082574,6909578,,,
2017-02-02,15188841,7154707,,,
2017-02-03,15746115,7783608,,,
2017-02-04,15466788,7960983,,,
2017-02-05,13921836,6954006,,,
2017-02-06,14262945,7117879,,,
2017-02-07,14901649,7524853,,,
2017-02-08,15100809,7654919,,,
2017-02-09,14933036,7696998,,,
2017-02-10,15552934,8041356,,,
2017-02-11,15413871,8251406,,,
2017-02-12,13676618,7104062,,,
2017-02-13,14674584,7166431,,,
2017-02-14,15008480,7352353,,,
2017-02-15,15102932,7318174,,,
2017-02-16,15131464,7436876,,,
2017-02-17,15956427,7842114,,,
2017-02-18,15695805,7958583,,,
2017-02-19,13745624,6856240,,,
2017-02-20,14372218,6882922,,,
2017-02-21,14518094,7019868,,,
2017-02-22,14620249,7069521,215591,,
2017-02-23,7409446,3598449,3263782,,
2017-02-24,15502723,7718492,9495750,,
2017-02-25,15250574,7799662,8913284,,
2017-02-26,13154470,6542601,7892395,,
2017-02-27,13732236,6680914,8740161,,
2017-02-28,14104281,6894342,9025822,,
2017-03-01,14387674,6993754,9154085,,
2017-03-02,14637424,7124737,9289514,,
2017-03-03,19764745,7477002,9086940,,
2017-03-04,19190515,7578035,8391513,,
2017-03-05,16894102,6528616,7459124,,
2017-03-06,8920869,3209439,4108745,,
2017-03-07,17783792,6489893,8473791,,
2017-03-08,17461176,6481038,8372886,,
2017-03-09,17374877,6668838,8585554,,
2017-03-10,17683148,7151375,8696911,,
2017-03-11,17314324,7559157,8381828,,
2017-03-12,15271883,6483880,7492200,,
2017-03-13,15696357,6367631,8053150,,
2017-03-14,15429469,6530486,8036502,,
2017-03-15,15394529,6581381,8066840,,
2017-03-16,15322277,6744179,8153047,,
2017-03-17,15764710,7266069,8214961,,
2017-03-18,15516325,7537204,7972276,,
2017-03-19,13569145,6415819,7116930,,
2017-03-20,13967401,6261434,7484192,,
2017-03-21,14085438,6210215,7652882,,
2017-03-22,14114195,6274645,7704366,,
2017-03-23,14071898,6331494,7683797,,
2017-03-24,14738207,6914549,8016284,,
2017-03-25,14844704,7317552,7949671,,
2017-03-26,12775012,6167099,6919854,,
2017-03-27,13323435,6131439,7467563,,
2017-03-28,13350066,6292943,7690071,,
2017-03-29,13327608,6391751,7722621,,
2017-03-30,13278707,6487490,7718109,,
2017-03-31,13857236,6807668,8102263,5591687,
2017-04-01,13618632,6889959,7773710,6214676,
2017-04-02,11955149,5827083,6926595,5951795,
2017-04-03,12298714,5679885,7420502,7562327,
2017-04-04,12357088,5859633,7554846,7926908,
2017-04-05,12273297,5865613,7573175,7853640,
2017-04-06,12231223,5948378,7588367,7720368,
2017-04-07,13042637,6533680,9736931,8055220,317011
2017-04-08,12815920,6660608,9334494,7280150,308838
2017-04-09,11291392,5683746,8077875,6396104,756145
2017-04-10,11819128,5762588,8678774,7162611,954504
2017-04-11,11736951,5877897,8591469,7468021,953037
2017-04-12,11716914,6041766,8590463,7495873,972755
2017-04-13,11958775,6327822,8553816,7573209,1047409
2017-04-14,11443718,5846681,8048741,13144962,1124587
2017-04-15,11042206,5617332,7450464,11963789,1181031
2017-04-16,10010095,5108739,6713215,10040949,1200146
2017-04-17,10765545,10236693,7481411,11302669,1469013
2017-04-18,11003682,13837155,7720202,11967713,1699884
2017-04-19,10766018,14530591,7608793,11640174,1725940
2017-04-20,10826572,15603034,7578070,11181908,1820033
2017-04-21,11324112,18076042,7818554,11363409,1953608
2017-04-22,11234996,17750769,7449324,10274500,1890190
2017-04-23,9744436,15592441,6498748,8892731,1696541
2017-04-24,10226555,17174198,7108710,10131992,1976553
2017-04-25,10416529,17794232,7215107,10156513,2105738
2017-04-26,10483469,18053510,7252547,10145977,2620606
2017-04-27,10222461,18150660,7135760,10016786,2698186
2017-04-28,10818508,20021846,7545200,10309105,3028343
2017-04-29,10836688,20266973,7228232,9535829,3191729
2017-04-30,9754326,18406851,6545783,8415625,2971223
2017-05-01,9593805,18367645,6596730,8737383,3253665
2017-05-02,9706051,18955297,6846097,9192670,3619296
2017-05-03,9888519,19322294,6931541,9233418,3759408
2017-05-04,9934971,19505497,6935114,9207136,3855119
2017-05-05,10520138,21169157,7238272,9526065,4112038
2017-05-06,10555302,21096685,6959582,8935434,4025107
2017-05-07,9168672,17895091,6075220,7805942,3598374
2017-05-08,9483810,19068836,6592512,8576556,4168044
2017-05-09,9701644,19772336,6686915,8830985,4408268
2017-05-10,9675779,19848833,6653322,8746830,4488334
2017-05-11,9560953,20017122,6658910,8689326,4339295
2017-05-12,10105739,21542862,7013481,9077519,4523770
2017-05-13,10077677,21606277,6678893,8683478,4308062
2017-05-14,8671832,18556585,5758414,7511379,3845575
2017-05-15,9081859,19750988,6283248,8281634,4441224
2017-05-16,9374428,20324830,6344965,8538806,4709739
2017-05-17,9287237,20380605,6017925,8454767,4795563
2017-05-18,9162677,20967686,5836777,8431003,5096004
2017-05-19,9687373,22169945,6103377,8762806,5292576
2017-05-20,9587491,22271168,5882114,8239957,5032800
2017-05-21,8099936,19291804,5144732,7214077,4512437
2017-05-22,8306796,19990671,5526221,7757136,4997624
2017-05-23,8482709,20206249,5583887,7963927,5109260
2017-05-24,8689525,21098792,5753065,8060525,5310612
2017-05-25,8745570,21620119,5779886,8039395,5385823
2017-05-26,9285005,23218183,6101814,8318984,5579455
2017-05-27,8968725,22744894,5699766,7708217,5189684
2017-05-28,7797390,19682193,5021231,6799333,4722146
2017-05-29,7968074,19119391,5251779,6956411,4963030
2017-06-01,8270321,20697677,5495998,7364896,5738504
2017-06-03,8383160,21339194,5264998,7138376,5700860
2017-06-04,7292429,18317216,4665442,6308290,5056728
